#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-05-24T10:10:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5ce7c30f3103
#INFO	-out.max=1000
#INFO	queryParameters=26
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/ApJ/729/L10&tab:{J/ApJ/729/L10/table1}&key:source=J/ApJ/729/L10/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/729/L10/table1
#-order=I
#-out=NGC
#-out=KIC
#-out=Teff
#-out=Vmag
#-out=Dnu
#-out=numax
#-out=Rad
#-out=Mass
#-out=log(g)
#-out=More
#More=More
#-out=2M
#2M=2M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#
#RESOURCE=yCat_17299010
#Name: J/ApJ/729/L10
#Title: KIC stars properties in NGC 6791 and NGC 6819 (Basu+, 2011)
#Table	J_ApJ_729_L10_table1:
#Name: J/ApJ/729/L10/table1
#Title: Properties of stars in NGC 6791 and NGC 6819
#Column	NGC	(I4)	Cluster NGC number (6791 or 6819)	[ucd=meta.id.parent]
#Column	KIC	(I7)	Kepler identification number	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[4007/4843] Effective temperature	[ucd=phys.temperature.effective]
#Column	Vmag	(F6.3)	[12.6/15.8] V band magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	Dnu	(F6.3)	Large frequency separation	[ucd=em.freq;src.var]
#Column	numax	(F7.3)	Frequency of maximum power	[ucd=em.freq;src.var]
#Column	Rad	(F5.2)	Estimated stellar radius	[ucd=phys.size.radius]
#Column	Mass	(F5.2)	Estimated stellar mass	[ucd=phys.mass]
#Column	log(g)	(F6.3)	Log of estimated stellar surface gravity	[ucd=phys.gravity]
#Column	More	(A4)	Stetson et al. data (2003, Cat. J/PASP/115/413) for NGC 6791, or Hole et al. data (2009, Cat. J/AJ/138/159) for NGC 6819	[ucd=meta.ref.url]
#Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246) within 3"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F10.6)	Positions from Kepler Input Catalog (Cat. V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Positions from Kepler Input Catalog (Cat. V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
NGC;KIC;Teff;Vmag;Dnu;numax;Rad;Mass;log(g);More;2M;Simbad;_RA;_DE
# ; ;K;mag;uHz;uHz;Rsun;Msun;[cm/s2]; ; ; ;deg;deg
#----;-------;----;------;------;-------;-----;-----;------;----;--;------;----------;----------
6791;2437340;4007;14.135; 1.317;  8.028;23.40; 1.26; 1.767;More;2M;Simbad;290.219150;+37.741161
6791;2437444;4186;14.553; 2.459; 18.658;15.32; 1.26; 2.142;More;2M;Simbad;290.225770;+37.774590
6791;2437816;4215;14.459; 2.348; 16.948;15.88; 1.28; 2.104;More;2M;Simbad;290.254670;+37.703732
6791;2437507;4246;14.554; 2.568; 20.654;15.60; 1.40; 2.189;More;2M;Simbad;290.230440;+37.720901
6791;2569360;4254;14.610; 2.712; 20.442;13.95; 1.14; 2.187;More;2M;Simbad;290.163940;+37.801338
6791;2436814;4289;14.712; 3.158; 24.615;12.55; 1.08; 2.270;More;2M;Simbad;290.181520;+37.783871
6791;2436332;4304;14.786; 3.374; 28.375;12.49; 1.24; 2.329;More;2M;Simbad;290.136110;+37.772820
6791;2436824;4324;14.984; 3.859; 31.306;10.98; 1.06; 2.376;More;2M;Simbad;290.181980;+37.778229
6791;2436458;4340;15.019; 4.143; 34.980;10.47; 1.05; 2.425;More;2M;Simbad;290.149410;+37.781120
6791;2435987;4355;14.985; 4.222; 37.720;10.60; 1.21; 2.456;More;2M;Simbad;290.082210;+37.781940
6791;2436097;4365;15.109; 4.543; 43.135;10.50; 1.36; 2.515;More;2M;Simbad;290.101960;+37.770531
6791;2436900;4402;14.914; 4.054; 35.312;10.87; 1.19; 2.428;More;2M;Simbad;290.188230;+37.742760
6791;2437402;4414;15.116; 4.818; 44.686; 9.76; 1.23; 2.531;More;2M;Simbad;290.223270;+37.788570
6791;2437240;4440;15.098; 4.854; 45.705; 9.83; 1.26; 2.543;More;2M;Simbad;290.211760;+37.724789
6791;2436540;4448;15.297; 5.793; 58.161; 8.81; 1.27; 2.648;More;2M;Simbad;290.157680;+37.756931
6791;2438038;4450;15.384; 6.123; 59.043; 8.06; 1.08; 2.655;More;2M;Simbad;290.274810;+37.799389
6791;2437488;4452;15.381; 6.262; 64.862; 8.38; 1.30; 2.697;More;2M;Simbad;290.229160;+37.761410
6791;2437781;4456;15.645; 7.852; 85.559; 7.05; 1.21; 2.816;More;2M;Simbad;290.251830;+37.787800
6791;2437653;4482;15.519; 6.988; 74.558; 7.79; 1.30; 2.757;More;2M;Simbad;290.241030;+37.785221
6791;2570094;4485;15.434; 6.492; 65.552; 7.91; 1.18; 2.703;More;2M;Simbad;290.240450;+37.817009
6791;2436209;4493;15.214; 5.686; 59.032; 9.30; 1.45; 2.656;More;2M;Simbad;290.119600;+37.721378
6791;2569618;4494;15.222; 5.652; 54.721; 8.75; 1.17; 2.620;More;2M;Simbad;290.192690;+37.819599
6791;2570172;4498;15.497; 7.029; 72.996; 7.55; 1.19; 2.750;More;2M;Simbad;290.248260;+37.803001
6791;2437270;4499;15.306; 6.479; 70.246; 8.56; 1.47; 2.734;More;2M;Simbad;290.214320;+37.778011
6791;2438333;4501;15.322; 6.030; 61.432; 8.64; 1.30; 2.674;More;2M;Simbad;290.304200;+37.716808
6791;2437976;4525;15.650; 8.100; 89.010; 6.94; 1.23; 2.837;More;2M;Simbad;290.268980;+37.781509
6791;2436688;4530;15.503; 7.254; 78.455; 7.64; 1.31; 2.781;More;2M;Simbad;290.170930;+37.717369
6791;2437972;4543;15.546; 7.813; 83.977; 7.05; 1.21; 2.811;More;2M;Simbad;290.268430;+37.769409
6791;2438140;4543;15.427; 6.766; 67.390; 7.56; 1.15; 2.721;More;2M;Simbad;290.283840;+37.758919
6791;2436818;4545;15.744; 8.787; 95.743; 6.43; 1.22; 2.869;More;2M;Simbad;290.181760;+37.734901
6791;2437325;4557;15.698; 8.541; 94.479; 6.69; 1.20; 2.864;More;2M;Simbad;290.218480;+37.787571
6791;2570244;4559;15.776; 9.496;100.545; 5.92; 1.03; 2.894;More;2M;Simbad;290.256040;+37.801441
6791;2437957;4602;15.651; 8.537; 92.536; 6.56; 1.13; 2.856;More;2M;Simbad;290.267400;+37.772961
6791;2437933;4610;15.791; 9.366;109.166; 6.44; 1.34; 2.929;More;2M;Simbad;290.264470;+37.777088
6819;5112880;4443;12.660; 2.800; 26.650;17.25; 2.04; 2.302;More;2M;Simbad;295.362820;+40.207870
6819;4937576;4481;13.080; 3.560; 32.290;13.03; 1.66; 2.395;More;2M;Simbad;295.434450;+40.097980
6819;5023732;4512;12.850; 3.110; 27.450;14.52; 1.75; 2.329;More;2M;Simbad;295.200130;+40.135689
6819;5113041;4521;13.180; 3.940; 37.570;12.39; 1.65; 2.461;More;2M;Simbad;295.388790;+40.209709
6819;5112734;4528;13.190; 4.020; 40.210;12.76; 1.74; 2.489;More;2M;Simbad;295.340700;+40.203098
6819;5024583;4540;13.120; 3.810; 38.150;13.38; 1.77; 2.455;More;2M;Simbad;295.339020;+40.183392
