pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse
Kepler-1189,b,2016,298.42634300000003,47.946785,0.0001959156286759565,2454967.6227,0.00476,-0.00476,1,0.1455,1,0,1,Kepler,,,,,1.11,0.1,-0.08,1.16,0.34,-0.15,6012.0,121.95,-184.74,14.285,13.065999999999999,12.77,,,,0.158,0.046,-0.043,0.0119,,,,3.78858982,2.274e-05,-2.274e-05,,,,3.7415692169792183,1.7710189554883116,3.7821580384766302
Kepler-1190,b,2016,284.999621,49.479977000000005,0.00028846944341445085,2454970.65022,0.0040100000000000005,-0.0040100000000000005,1,0.12925,1,0,1,Kepler,,,,,0.76,0.03,-0.04,0.72,0.02,-0.04,4730.0,39.96,-39.65,14.470999999999998,12.862,12.295,,,,0.11900000000000001,0.004,-0.01,0.00733,,,,10.45843441,5.281e-05,-5.281e-05,,,,5.3943754946466855,1.333868706981703,2.329682220338966
Kepler-1191,b,2016,291.65777599999996,48.009315,0.0002933380400514152,2454968.96163,0.00302,-0.00302,1,0.11674200000000001,1,0,1,Kepler,,,,,0.85,0.05,-0.05,0.81,0.06,-0.06,5308.0,107.78,-83.33,15.378,14.081,13.648,,,,0.135,0.012,-0.01,0.00909,,,,5.60014851,1.909e-05,-1.909e-05,,,,4.581847824993478,1.513212398676722,2.889060215945594
Kepler-1192,b,2016,282.14056600000004,43.89658,0.0006824637882430631,2454970.56218,0.00411,-0.00411,1,0.18967,1,0,1,Kepler,,,,,0.86,0.05,-0.07,0.83,0.08,-0.07,5438.0,67.15,-57.17,15.684000000000001,14.493,14.1,,,,0.21100000000000002,0.021,-0.02,0.0194,,,,25.2034787,0.0001278,-0.0001278,,,,2.5611348595317467,2.365094934228062,6.165871087936691
Kepler-1193,b,2016,288.14475899999996,51.275627,0.00010043016140177076,2454964.82631,0.00264,-0.00264,1,0.09935,1,0,1,Kepler,,,,,1.08,0.06,-0.04,1.21,0.19,-0.15,5908.0,75.02,-61.06,13.467,12.425,12.09,,,,0.11800000000000001,0.019,-0.015,0.007240000000000001,,,,2.83265213,9.03e-06,-9.03e-06,,,,5.46475413789508,1.3226597262507644,2.3010776637454455
Kepler-1194,b,2016,291.69953799999996,38.145265,0.00022738550103701969,2454969.02705,0.004,-0.004,1,0.10425,1,0,1,Kepler,,,,,0.94,0.04,-0.04,0.92,0.06,-0.05,5590.0,97.14,-79.79,14.129000000000001,12.901,12.543,,,,0.135,0.011000000000000001,-0.008,0.00909,,,,16.22371307,8.867e-05,-8.867e-05,,,,4.581847824993478,1.513212398676722,2.889060215945594
Kepler-1195,b,2016,284.351087,40.852979,0.000724736405495488,2454971.73517,0.00277,-0.00277,1,0.093221,1,0,1,Kepler,,,,,0.74,0.05,-0.06,0.71,0.05,-0.06,4965.0,111.27,-80.25,15.888,14.442,13.949000000000002,,,,0.18600000000000003,0.017,-0.015,0.0157,,,,8.49642241,2.872e-05,-2.872e-05,,,,3.0257908348978306,2.0848704159545948,4.989905983536394
Kepler-1196,b,2016,292.369561,43.910809,0.00044446090983817543,2454974.61516,0.0066099999999999996,-0.0066099999999999996,1,0.1995,1,0,1,Kepler,,,,,0.98,0.06,-0.06,0.97,0.15,-0.09,5756.0,129.38,-149.1,14.862,13.647,13.289000000000001,,,,0.19899999999999998,0.033,-0.019,0.0176,,,,66.1849031,0.0004661,-0.0004661,,,,2.7696922889173954,2.2305871654567975,5.593779956066276
Kepler-1197,b,2016,291.66927200000003,42.590709999999994,0.0002555300260003439,2454965.64366,0.00155,-0.00155,1,0.046725,1,0,1,Kepler,,,,,0.78,0.02,-0.03,0.72,0.01,-0.01,4708.0,63.31,-50.89,15.13,13.47,12.91,,,,0.11199999999999999,0.003,-0.008,0.0066,,,,2.03231845,3.75e-06,-3.75e-06,,,,5.8259660679275385,1.2554058418651322,2.0976674835248534
Kepler-1188,b,2016,283.103838,43.148045,0.00032515096298529314,2454974.0137099996,0.00633,-0.00633,1,0.26525,1,0,1,Kepler,,,,,1.04,0.07,-0.07,1.06,0.25,-0.1,5913.0,104.3,-106.82,15.004000000000001,13.921,13.613,,,,0.18600000000000003,0.044000000000000004,-0.02,0.0157,,,,17.1369543,0.0001214,-0.0001214,,,,3.0257908348978306,2.0848704159545948,4.989905983536394
Kepler-1198,b,2016,288.834008,44.838249,0.00022373218245877046,2454970.63985,0.0038299999999999996,-0.0038299999999999996,1,0.10829000000000001,1,0,1,Kepler,,,,,0.93,0.04,-0.05,0.9,0.1,-0.06,5517.0,80.26,-98.45,14.776,13.482999999999999,13.149000000000001,,,,0.131,0.016,-0.009000000000000001,0.00869,,,,7.6847716,3.25e-05,-3.25e-05,,,,4.793844834088288,1.4683764757529671,2.7619288533077238
Kepler-1199,b,2016,293.72587200000004,47.247044,8.184150603301679e-05,2454966.20727,0.00558,-0.00558,1,0.24245999999999998,1,0,1,Kepler,,,,,0.94,0.1,-0.06,1.17,0.21,-0.16,5889.0,84.29,-64.89,13.037,11.965,11.655999999999999,,,,0.10300000000000001,0.019,-0.013999999999999999,0.00505,,,,15.0447198,0.0001084,-0.0001084,,,,5.731361305969343,1.1545250152866842,1.6050334533031076
Kepler-1200,b,2016,296.60345099999995,44.129257,0.00019450108002592819,2454965.84717,0.0022199999999999998,-0.0022199999999999998,1,0.06427100000000001,1,0,1,Kepler,,,,,0.74,0.04,-0.05,0.7,0.03,-0.04,4612.0,101.02,-139.97,15.793,13.96,13.379000000000001,,,,0.095,0.005,-0.006999999999999999,0.0037700000000000003,,,,1.11854972,3.12e-06,-3.12e-06,,,,5.453164736740049,1.0648531694391747,1.1982130928619241
Kepler-1201,b,2016,294.614827,40.833172,0.00028581686491419673,2454967.05581,0.0046,-0.0046,1,0.18783,1,0,1,Kepler,,,,,1.15,0.17,-0.11,1.24,0.46,-0.19,6177.0,146.3,-232.29,14.724,13.562000000000001,13.265,,,,0.204,0.081,-0.038,0.0184,,,,15.18725932,8.158e-05,-8.158e-05,,,,2.6878523241162475,2.2866320691114908,5.848042681342016
Kepler-1202,b,2016,292.290612,44.653255,0.000670203653075459,2454992.87673,0.00528,-0.00528,1,0.22779000000000002,1,0,1,Kepler,,,,,1.03,0.06,-0.06,1.04,0.22,-0.1,5834.0,80.98,-131.48,15.658,14.347999999999999,14.046,,,,0.262,0.081,-0.027999999999999997,0.0282,,,,28.6851324,0.0001899,-0.0001899,,,,1.944568819351118,2.9367529515059343,8.96276106596983
Kepler-1203,b,2016,292.77338399999996,44.178127,0.0002561288073440065,2454965.059132,0.000817,-0.000817,1,0.048445999999999996,1,0,1,Kepler,,,,,0.64,0.02,-0.02,0.61,0.01,-0.02,4105.0,43.7,-35.84,14.934000000000001,12.860999999999999,12.190999999999999,,,,0.095,0.005,-0.004,0.0037700000000000003,,,,0.58800076,5.8e-07,-5.8e-07,,,,5.453164736740049,1.0648531694391747,1.1982130928619241
Kepler-1204,b,2016,289.441483,42.498135,0.0007364347025977006,2455003.9855299997,0.00629,-0.00629,1,0.31071,1,0,1,Kepler,,,,,1.03,0.06,-0.06,1.03,0.29,-0.1,5825.0,88.38,-121.08,15.300999999999998,14.119000000000002,13.800999999999998,,,,0.272,0.078,-0.027000000000000003,0.03,,,,85.7350285,0.0006373,-0.0006373,,,,1.8488114661465351,3.0488427588153213,9.534852197840243
Kepler-1205,b,2016,290.27970899999997,41.515049,0.0002555300260003439,2454966.24975,0.00125,-0.00125,1,0.051237,1,0,1,Kepler,,,,,0.84,0.04,-0.05,0.81,0.05,-0.05,5226.0,84.83,-71.27,15.142999999999999,13.87,13.409,,,,0.126,0.009000000000000001,-0.008,0.00809,,,,1.07839035,1.6e-06,-1.6e-06,,,,5.015508486228808,1.4123315720982739,2.571231809350919
Kepler-1206,b,2016,295.938407,49.791145,0.00040017879435110166,2454965.03255,0.00173,-0.00173,1,0.054588,1,0,1,Kepler,,,,,0.8,0.03,-0.04,0.75,0.03,-0.03,4877.0,55.23,-79.61,15.975,14.29,13.762,,,,0.146,0.008,-0.006999999999999999,0.0105,,,,1.21699766,2.61e-06,-2.61e-06,,,,4.184165122309528,1.6365111867170472,3.3371982692440856
Kepler-1207,b,2016,295.06424300000003,49.358994,0.00019760374022331445,2454972.1874,0.00533,-0.00533,1,0.17346,1,0,1,Kepler,,,,,1.06,0.06,-0.06,1.06,0.23,-0.1,5909.0,88.29,-99.94,14.5,13.365,13.071,,,,0.145,0.045,-0.016,0.0102,,,,13.68237119,8.986e-05,-8.986e-05,,,,4.149294385322209,1.6253022059861086,3.241849747265683
Kepler-1208,b,2016,291.881263,44.555729,0.0007834014896362034,2455188.03662,0.00323,-0.00323,1,0.07117000000000001,1,0,1,Kepler,,,,,0.8,0.04,-0.04,0.76,0.04,-0.04,5001.0,110.88,-108.59,15.937999999999999,14.42,13.923,,,,0.207,0.017,-0.012,0.0189,,,,11.08507637,5.235e-05,-5.235e-05,,,,2.6425843040492816,2.320259011304307,6.0069568846393535
Kepler-1209,b,2016,287.584891,49.154793,0.0001010602226831199,2454976.68738,0.00425,-0.00425,1,0.19308,1,0,1,Kepler,,,,,1.23,0.09,-0.05,1.38,0.29,-0.16,6210.0,71.25,-59.14,12.475999999999999,11.499,11.274000000000001,,,,0.135,0.028999999999999998,-0.016,0.00909,,,,25.369116,0.0001249,-0.0001249,,,,4.581847824993478,1.513212398676722,2.889060215945594
Kepler-1210,b,2016,292.832145,48.219357,0.00028825868949022235,2454970.76385,0.00539,-0.00539,1,0.11054000000000001,1,0,1,Kepler,,,,,0.94,0.04,-0.05,0.92,0.16,-0.07,5568.0,67.19,-91.62,15.552999999999999,14.265999999999998,13.936,,,,0.152,0.027000000000000003,-0.012,0.0111,,,,8.07124073,4.899e-05,-4.899e-05,,,,3.9198576717023874,1.7037650711026795,3.52789531320089
Kepler-1211,b,2016,285.72078799999997,40.856961,0.0006158385821289468,2454972.88044,0.006840000000000001,-0.006840000000000001,1,0.18879,1,0,1,Kepler,,,,,0.96,0.06,-0.07,0.94,0.13,-0.08,5705.0,123.21,-77.68,15.832,14.753,14.325,,,,0.22699999999999998,0.037000000000000005,-0.037000000000000005,0.0221,,,,11.01816836,7.975e-05,-7.975e-05,,,,2.3431105820839826,2.5444386259230805,7.024007785742313
Kepler-1212,b,2016,296.853432,50.037354,0.00029130097649010533,2454972.89312,0.00486,-0.00486,1,0.18617,1,0,1,Kepler,,,,,1.1,0.11,-0.08,1.15,0.31,-0.14,6051.0,144.84,-180.6,15.012,13.872,13.544,,,,0.191,0.052000000000000005,-0.024,0.0164,,,,12.94130146,7.91e-05,-7.91e-05,,,,2.9189175625992863,2.140915319609288,5.212385868152667
