Quarter,Month,StartTime
0,1,2009131110544
1,1,2009166044711
2,1,2009201121230
2,2,2009231120729
2,3,2009259162342
3,1,2009291181958
3,2,2009322144938
3,3,2009350160919
4,1,2010009094841
4,2,2010019161129
4,3,2010049094358
4,4,2010078100744
5,1,2010111051353
5,2,2010140023957
5,3,2010174090439
6,1,2010203174610
6,2,2010234115140
6,3,2010265121752
7,1,2010296114515
7,2,2010326094124
7,3,2010355172524
8,1,2011024051157
8,2,2011053090032
8,3,2011073133259
9,1,2011116030358
9,2,2011145075126
9,3,2011177032512
10,1,2011208035123
10,2,2011240104155
10,3,2011271113734
11,1,2011303113607
11,2,2011334093404
11,3,2012004120508
12,1,2012032013838
12,2,2012060035710
12,3,2012088054726
13,1,2012121044856
13,2,2012151031540
13,3,2012179063303
14,1,2012211050319
14,2,2012242122129
14,3,2012277125453
15,1,2012310112549
15,2,2012341132017
15,3,2013011073258
16,1,2013017113907
16,2,2013065031647
16,3,2013098041711
17,1,2013121191144
17,2,2013131215648
